,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
196,CBLC,NHLRC1,0.3240740740740741,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
197,ARAF,NHLRC1,0.3756613756613757,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
198,ARRDC4,NHLRC1,0.36,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
199,ATG10,NHLRC1,0.375,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
200,BAG2,NHLRC1,0.3023255813953488,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
201,BRAF,NHLRC1,0.30701754385964913,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
202,BRAT1,NHLRC1,0.3128834355828221,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
203,C1QTNF2,NHLRC1,0.3374485596707819,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
204,CACUL1,NHLRC1,0.4259259259259259,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
205,CAMKK2,NHLRC1,0.3189655172413793,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
206,CARD14,NHLRC1,0.3023255813953488,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
207,CCNC,NHLRC1,0.33707865168539325,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
208,CKS2,NHLRC1,0.3043478260869565,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
209,CCNL1,NHLRC1,0.32432432432432434,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
210,CCNL2,NHLRC1,0.3357142857142857,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
211,CCNQ,NHLRC1,0.3357142857142857,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
212,CCNY,NHLRC1,0.30526315789473685,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
213,CDC14B,NHLRC1,0.3048128342245989,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
214,CDC20B,NHLRC1,0.3493150684931507,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
215,CDK2AP1,NHLRC1,0.3202614379084967,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
216,CHFR,NHLRC1,0.3764044943820225,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
217,CISH,NHLRC1,0.3333333333333333,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
218,CKS1B,NHLRC1,0.33157894736842103,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
219,DVL2,NHLRC1,,,1.0,,
220,DYRK2,NHLRC1,0.30493273542600896,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
221,NEK10,NHLRC1,0.3125,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
222,MAPRE3,NHLRC1,0.3235294117647059,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
223,KLHL25,NHLRC1,0.3133333333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
224,KLHL40,NHLRC1,0.32,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
225,KLHL42,NHLRC1,0.3161764705882353,,,"['Cellular protein modification process ', 'Protein modification process ', 'Macromolecule modification ']",
226,KSR1,NHLRC1,0.3177083333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
227,LCP2,NHLRC1,0.3297872340425532,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
228,MAGEA2,NHLRC1,0.3349282296650718,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
229,MAGEC2,NHLRC1,0.4244604316546763,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
230,MAP3K6,NHLRC1,0.3054187192118227,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
231,MAP4K3,NHLRC1,0.3096446700507614,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
